specialization, responsibilities, requirements, terms, skills, notes
Строитель,"Требуется сварщик. Работа на стройке. Рабочий день по разработанному графику. Соблюдение режима сварки, выполнение требований мастера. Работа с ручной дуговой сваркой.","Удостоверение о прохождении обучения сварщиком, опыт работы не менее 3 лет. Знание работы на полуавтоматах и их настройки.","Заработная плата сварщика: 80 000 рублей. Официальное трудоустройство, соц. пакет. Работа на стройке по разработанному графику. Предоставляем униформу, бесплатные обеды, билет до места работы. Возможна подработка на вахте.","Ручная дуговая сварка, работа на полуавтоматах.",В данной вакансии нет проживания в общежитии. Акция &quot;ПРИВЕДИ ДРУГА&quot; не действует для данной вакансии.
Электросварщик,Требуется сварщик на электросварочные работы. Рабочий день по разработанному графику. Подробности у мастера. Работа с ручной дуговой сваркой и другими видами сварки.,"Удостоверение о прохождении обучения сварщиком, опыт работы не менее 3 лет. Знание работы на полуавтоматах и их настройки.","Заработная плата сварщика: 80 000 рублей. Официальное трудоустройство, соц. пакет. Работа на стройке по разработанному графику. Предоставляем униформу, бесплатные обеды, билет до места работы. Возможна подработка на вахте.","Ручная дуговая сварка, работа на полуавтоматах.",В данной вакансии нет проживания в общежитии. Акция &quot;ПРИВЕДИ ДРУГА&quot; не действует для данной вакансии.
Электрогазосварщик с проживанием,"Требуется электрогазосварщик на стройку. Рабочий день по разработанному графику. Соблюдение режима сварки, выполнение требований мастера. Работа с ручной дуговой сваркой и не только (подробности у мастера).","Удостоверение о прохождении обучения сварщиком, опыт работы не менее 3 лет. Знание работы на полуавтоматах и их настройки. Удостоверение НАКС будет преимуществом.","Заработная плата электрогазосварщика: 100 000 рублей. Официальное трудоустройство, соц. пакет. Работа на стройке по разработанному графику. Предоставляем униформу, бесплатные обеды, билет до места работы и проживание в новом общежитии. Возможна подработка на вахте (оплачиваемые переработки).","Ручная дуговая сварка, работа на полуавтоматах.","В данной вакансии действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен)."
Монтажник металлоконструкций,"Монтаж металлоконструкций на высоте, управление грузоподъемным оборудованием (кран 25 тонн), монтаж/демонтаж конструкций, выполнение паспортных работ","Опыт работы на аналогичной должности не менее 3-х лет, наличие допусков на управление кранами, знание норм и правил техники безопасности при работе на высоте","Почасовая оплата 300 руб/час, предоставляется жилье и проезд до места работы, вахтовый метод 60/30 в г. Брянск","Умение работать в команде, умение читать чертежи и схемы, знание английского языка приветствуется",
Машинист экскаватора,"Управление экскаватором, проведение земляных работ, обеспечение грунта для строительства, выполнение паспортных работ","Опыт работы на аналогичной должности не менее 3-х лет, наличие допусков на управление экскаваторами, знание норм и правил техники безопасности при работе с тяжелой техникой","Почасовая оплата 280 руб/час, предоставляется жилье и проезд до места работы, вахтовый метод 60/30 в г. Брянск","Умение работать в команде, умение читать чертежи и схемы, знание английского языка приветствуется",
Машинист тяжелой техники,"Управление тяжелой техникой (кран, экскаватор и т.п.), проведение земляных работ, монтаж/демонтаж конструкций, выполнение паспортных работ","Опыт работы на аналогичной должности не менее 3-х лет, наличие допусков на управление кранами и экскаваторами, знание норм и правил техники безопасности при работе с тяжелой техникой","Почасовая оплата 290 руб/час, предоставляется жилье и проезд до места работы, вахтовый метод 60/30 в г. Брянск","Умение работать в команде, умение читать чертежи и схемы, знание английского языка приветствуется",
Специалист по монтажу окон,"Специалист по монтажу окон Для работы на строительстве зданий и сооружений требуется специалист по монтажу окон (можно без опыта работы). Города: Екатеринбург, Пермь, Челябинск. 📱ПЕРВЫМ 5 ПОЗВОНИВШИМ ПРЕДЛОЖИМ ЛУЧШИЕ УСЛОВИЯ. Мы прямой работодатель!!!","Паспорт, ИНН, СНИЛС, трудовая книжка (если есть), военный билет. Требования: - Готовность к физической работе; - Можно без опыта; - Умение пользоваться электроинструментом; - Умение монтировать окна из различных материалов (пластик, дерево, алюминий); - Навыки работы с утеплителем и герметиком.","График работы: Смена по 11 ч (дневные и ночные) минимальная вахта 30 рабочих дней, можно и дольше. Авансы: 15 и 30 числа каждого месяца по 5 000 рублей работнику на карту Тинькофф или Альфабанк. Спецодежда: Предоставляем спецовку по сезону и обувь. Перечисление з/п:30 числа каждого месяца, ТОЛЬКО на карту Альфа-Банк зарплатный проект , Тинькофф банк. Проезд: Бесплатный, корпоративный автобус. Заселение: Заселение 24/7. Выплаты премии за приведенных друзей.","Навыки монтажа окон, работа с электроинструментом, работа с герметиком и утеплителем.","Если Вы заинтересовались данной вакансией, или у Вас возникли вопросы, оставляйте отклик или пишите в сообщении Ваш номер, мы обязательно с Вами свяжемся в ближайшее время. Как еще можно найти работу: монтаж окон, монтаж окон пвх, вакансии монтажника окон, монтаж окон на высоте, работы монтажника окон, монтаж окон работодатель, монтаж окон прямой работодатель, монтаж окон сезонная работа, монтаж окон вахта, монтаж окон вахтовый метод, монтаж окон на стройке."
Монтажник опалубки,"Монтажник опалубки Для работы на строительстве зданий и сооружений требуются монтажники опалубки (можно без опыта работы). Города: Самара, Ростов-на-Дону, Волгоград. 📱ПЕРВЫМ 5 ПОЗВОНИВШИМ ПРЕДЛОЖИМ ЛУЧШИЕ УСЛОВИЯ. Мы прямой работодатель!!!","Паспорт, ИНН, СНИЛС, трудовая книжка (если есть), военный билет. Требования: - Готовность к физической работе; - Можно без опыта; - Умение пользоваться электроинструментом; - Навыки монтажа и демонтажа опалубки; - Знание основных типов опалубки и методов ее монтажа.","График работы: Смена по 11 ч (дневные и ночные) минимальная вахта 30 рабочих дней, можно и дольше. Авансы: 15 и 30 числа каждого месяца по 5 000 рублей работнику на карту Тинькофф или Альфабанк. Спецодежда: Предоставляем спецовку по сезону и обувь. Перечисление з/п:30 числа каждого месяца, ТОЛЬКО на карту Альфа-Банк зарплатный проект , Тинькофф банк. Проезд: Бесплатный, корпоративный автобус. Заселение: Заселение 24/7. Выплаты премии за приведенных друзей.","Умение монтировать и демонтировать опалубку, знание основных типов опалубки и методов ее монтажа, работа с электроинструментом.","Если Вы заинтересовались данной вакансией, или у Вас возникли вопросы, оставляйте отклик или пишите в сообщении Ваш номер, мы обязательно с Вами свяжемся в ближайшее время. Как еще можно найти работу: монтаж опалубки, вакансии монтажника опалубки, опалубка на стройке, работы монтажника опалубки, монтаж опалубки работодатель, монтаж опалубки прямой работодатель, монтаж опалубки сезонная работа, монтаж опалубки вахта, монтаж опалубки вахтовый метод, монтаж опалубки на высоте."
Инженер-строитель,"СРОЧНО! Ведущая строительная компания, для выполнения государственных проектов требует много новых сотрудников!  Ваша задача: осуществлять грузоперевозки, монтировать детали на строительной площадке, участвовать в монтаже дорожного полотна в сотрудничестве со всеми профессионалами на стройке. ",Опыт работы в строительстве,"Мы предоставляем: официальное трудоустройство по ТК РФ с 1-го рабочего дня; график работы – ВАХТОВЫЙ 60/30, 90/30; предоставляется благоустроенное жилье за счет компании; трехразовое питание; предоставляется бесплатная (фирменная) спецодежда и обувь по сезону и специфике работ; покупка билетов на вахту и в межвахтовый отпуск; авансирование 30 и 15 числа без задержек; медосмотр за счет работодателя; проживание в 10 минутах ходьбы от места работы (или: предоставляется трансфер от вахтового городка до места работы); сертифицированные рабочие места в соответствии с требованиями охраны труда; повышение квалификации и аттестация в лицензированном учебном центре компании; обучение дополнительным профессиям за счет компании.","Опыт работы в строительной отрасли, умение работать в команде, ответственность, опыт работы с грузоподъемными устройствами, знание правил и инструкций охраны труда.","Если Вам подходит наша вакансия, звоните по указанному телефону в объявлении, либо пишите (WhatsApp, Viber, Telegram). Работая в нашей компании, Вы получаете стабильную работу на лучших условиях, официальное трудоустройство, индивидуальный подход, гарантированные выплаты заработной платы без задержек. "
Машинист крана пневмоколесного на вахту в Н.Уренго,"СРОЧНО! В федеральную компанию, для выполнения госзаказа нужны сотрудники!  Что предстоит делать:  - Погрузка выгрузка, монтаж конструкций.  Что нужно знать и уметь:  - ;  Что мы предлагаем: -  !&quot;",Опыт работы,"Мы предоставляем: официальное трудоустройство по ТК РФ с 1-го рабочего дня; график работы – ВАХТОВЫЙ 60/30, 90/30; предоставляется благоустроенное жилье за счет компании; трехразовое питание; предоставляется бесплатная (фирменная) спецодежда и обувь по сезону и специфике работ; покупка билетов на вахту и в межвахтовый отпуск; авансирование 30 и 15 числа без задержек; медосмотр за счет работодателя; проживание в 10 минутах ходьбы от места работы (или: предоставляется трансфер от вахтового городка до места работы); сертифицированные рабочие места в соответствии с требованиями охраны труда; повышение квалификации и аттестация в лицензированном учебном центре компании; обучение дополнительным профессиям за счет компании.","Опыт работы в качестве машиниста крана, знание правил и инструкций охраны труда, умение быстро реагировать на изменение ситуации на стройке, инструктаж по технике безопасности.","Если Вам подходит наша вакансия, звоните по указанному телефону в объявлении, либо пишите (WhatsApp, Viber, Telegram). Работая в нашей компании, Вы получаете стабильную работу на лучших условиях, официальное трудоустройство, индивидуальный подход, гарантированные выплаты заработной платы без задержек. "
Машинист крана пневмоколесного на вахту в Н.Уренго,Федеральная компания ищет машиниста крана пневмоколесного для перевозки строительных материалов на объекты. ,"Опыт работы в качестве машиниста крана пневмоколесного, знание правил и инструкций охраны труда, умение быстро реагировать на изменение ситуации на стройке, инструктаж по технике безопасности.","Мы предоставляем: официальное трудоустройство по ТК РФ с 1-го рабочего дня; график работы – ВАХТОВЫЙ 60/30, 90/30; предоставляется благоустроенное жилье за счет компании; трехразовое питание; предоставляется бесплатная (фирменная) спецодежда и обувь по сезону и специфике работ; покупка билетов на вахту и в межвахтовый отпуск; авансирование 30 и 15 числа без задержек; медосмотр за счет работодателя; проживание в 10 минутах ходьбы от места работы (или: предоставляется трансфер от вахтового городка до места работы); сертифицированные рабочие места в соответствии с требованиями охраны труда; повышение квалификации и аттестация в лицензированном учебном центре компании; обучение дополнительным профессиям за счет компании.","Опыт работы в качестве машиниста крана, умение работать в команде, ответственность, умение настраивать оборудование.","Если Вам подходит наша вакансия, звоните по указанному телефону в объявлении, либо пишите (WhatsApp, Viber, Telegram). Работая в нашей компании, Вы получаете стабильную работу на лучших условиях, официальное трудоустройство, индивидуальный подход, гарантированные выплаты заработной платы без задержек. "
Машинист крана на строительство зданий,Федеральная компания ищет квалифицированного машиниста крана для перевозки строительных материалов на объекты.,"Опыт работы в качестве машиниста крана, знание правил и инструкций охраны труда, умение быстро реагировать на изменение ситуации на стройке, инструктаж по технике безопасности.","Мы предоставляем: официальное трудоустройство по ТК РФ с 1-го рабочего дня; график работы – ВАХТОВЫЙ 60/30, 90/30; предоставляется благоустроенное жилье за счет компании; трехразовое питание; предоставляется бесплатная (фирменная) спецодежда и обувь по сезону и специфике работ; покупка билетов на вахту и в межвахтовый отпуск; авансирование 30 и 15 числа без задержек; медосмотр за счет работодателя; проживание в 10 минутах ходьбы от места работы (или: предоставляется трансфер от вахтового городка до места работы); сертифицированные рабочие места в соответствии с требованиями охраны труда; повышение квалификации и аттестация в лицензированном учебном центре компании; обучение дополнительным профессиям за счет компании.","Опыт работы в качестве машиниста крана, умение работать в команде, ответственность, умение настраивать оборудование.","Если Вам подходит наша вакансия, звоните по указанному телефону в объявлении, либо пишите (WhatsApp, Viber, Telegram). Работая в нашей компании, Вы получаете стабильную работу на лучших условиях, официальное трудоустройство, индивидуальный подход, гарантированные выплаты заработной платы без задержек. "
Строительный инженер-планировщик,"Компания ищет строительного инженера-планировщика для работы на объекте в Самарской области. Опыт работы не обязателен, все необходимые навыки мы готовы обучить. Основные обязанности: планирование и контроль хода строительных работ; составление графиков и отчетов; работа с бригадами строителей и поставщиками материалов.","Образование в области строительства, знание программы MS Project, умение читать чертежи и схемы. Желательно наличие опыта работы по специальности. ","Официальное трудоустройство, график работы согласовывается при собеседовании, компенсация затрат на проезд, предоставление спецодежды, медосмотр на объекте бесплатно. ","Знание программы MS Project, умение читать чертежи и схемы, планирование и контроль хода строительных работ","Прием заявок на вакансию происходит до 15 мая. После рассмотрения резюме, мы свяжемся с вами для проведения собеседования в нашем офисе. "
Монтажник на строительство,"Компания ищет монтажников на объекты в Сызрани и Нижнекамске. Основные обязанности: монтажные, бетонно-арматурные работы, подсобные виды работ, бригадная работа под руководством мастера.","Образование в области строительства не обязательно, опыт работы не обязателен, все необходимые навыки мы готовы обучить. Желание работать и зарабатывать.","Официальное трудоустройство, график вахты выбираете сами 30/30, 60/30, предоставляется спецодежда, питание за счет работодателя, компенсация затрат на проезд, медосмотр на объекте бесплатно, проживание (бесплатно) в квартирах за счет организации, по 2 человека в комнате, в шаговой доступности от производства. Своевременная и стабильная заработная плата, без задержек; выплаты строго 2 раза в месяц; на карту. Фиксированная ставка без скрытых вычетов.","Монтажные, бетонно-арматурные работы, бригадная работа",Работы на объекте начинаются с 1 июня. Предварительное собеседование проводится по телефону. 
Инженер по эксплуатации зданий,"Компания ищет инженера по эксплуатации зданий для работы на объекте в Самарской области. Основные обязанности: контроль и обслуживание инженерных систем здания, участие в разработке планов технического обслуживания здания, контроль качества выполнения работ по ремонту и обслуживанию здания.","Высшее образование в области строительства или инженерной техники, наличие опыта работы по эксплуатации зданий не менее 2 лет. Знание нормативной документации по эксплуатации зданий.","Официальное трудоустройство, график работы согласовывается при собеседовании, компенсация затрат на проезд, предоставление спецодежды, медосмотр на объекте бесплатно. ","Контроль и обслуживание инженерных систем здания, разработка планов технического обслуживания здания","Прием заявок на вакансию происходит до 15 мая. После рассмотрения резюме, мы свяжемся с вами для проведения собеседования в нашем офисе. "
Строитель,"Наша строительная компания в поиске электрогазосварщика. Требуется профессионал с опытом работы ручной дуговой сваркой и знанием работы на полуавтоматах. Основные обязанности включают работу по сварке конструкций и элементов зданий и сооружений, соблюдение режима сварки и работу на основе разработанного плана. Обеспечиваем вахтовый метод работы 30/30, 60/30 дней и тд. по желанию с оплачиваемым билетом до места работы, официальным трудоустройством, проживанием в новом общежитии и униформой. Заработная плата в зависимости от опыта и квалификации.",Мы ищем сварщика с разрядом 3-4 и удостоверением работы сварщиком. Опыт работы сварщиком обязателен. Знание работы на полуавтоматах и настройки является дополнительным преимуществом. ,"Проживание в новом общежитии и бесплатные обеды на месте работы обеспечиваются. Возможна подработка на вахте и оплачиваемые переработки. Выплаты на карту без задержек. Мы также предлагаем премию 4000 руб за приведенного друга, который отработает не менее 10 смен.","Ручная дуговая сварка, работа на полуавтоматах, знание настроек","Мы приглашаем кандидатов на вакансию ""Электрогазосварщик"" в нашу строительную компанию."
Электрогазосварщик,"Требуется электрогазосварщик с опытом работы ручной дуговой сваркой и на полуавтоматах. Основные обязанности включают работу по сварке конструкций и элементов зданий и сооружений, соблюдение режима сварки и работу на основе разработанного плана. Обеспечиваем вахтовый метод работы 30/30, 60/30 дней и тд. по желанию с оплачиваемым билетом до места работы, официальным трудоустройством, проживанием в новом общежитии и униформой. Заработная плата 80 т.р. для сварщика и до 100 т.р. для сварщика с удостоверением работы сварщиком НАКС.",Мы ищем сварщика с разрядом 3-4 и удостоверением работы сварщиком. Опыт работы сварщиком обязателен. Знание работы на полуавтоматах и настройки является дополнительным преимуществом.,"Проживание в новом общежитии и бесплатные обеды на месте работы обеспечиваются. Возможна подработка на вахте и оплачиваемые переработки. Выплаты на карту без задержек. Мы также предлагаем премию 4000 руб за приведенного друга, который отработает не менее 10 смен.","Ручная дуговая сварка, работа на полуавтоматах, знание настроек","Вакансия ""Электрогазосварщик"" с отличными условиями в нашей компании."
Электромонтажник,"Наша строительная компания в поиске электромонтажника. Требуется профессионал с опытом работы в области электромонтажа зданий и сооружений. Основные обязанности включают установку и монтаж электрооборудования, проводку и монтаж кабельных линий, проверку и тестирование электрических цепей. Обеспечиваем вахтовый метод работы 30/30, 60/30 дней и тд. по желанию с оплачиваемым билетом до места работы, официальным трудоустройством, проживанием в новом общежитии и униформой. Заработная плата в зависимости от опыта и квалификации.",Мы ищем электромонтажника с опытом работы в области электромонтажа зданий и сооружений. Знание электрики и электроники является дополнительным преимуществом.,"Проживание в новом общежитии и бесплатные обеды на месте работы обеспечиваются. Возможна подработка на вахте и оплачиваемые переработки. Выплаты на карту без задержек. Мы также предлагаем премию 4000 руб за приведенного друга, который отработает не менее 10 смен.",Знание электрики и электроники,"Мы приглашаем кандидатов на вакансию ""Электромонтажник"" в нашу строительную компанию."
Электрогазосварщик,"Мы ищем электрогазосварщика с опытом работы ручной дуговой сваркой и на полуавтоматах. Основные обязанности включают работу по сварке конструкций и элементов зданий и сооружений, соблюдение режима сварки и работу на основе разработанного плана. Обеспечиваем вахтовый метод работы 30/30, 60/30 дней и тд. по желанию с оплачиваемым билетом до места работы, официальным трудоустройством, проживанием в новом общежитии и униформой. Заработная плата 80 т.р. для сварщика и до 100 т.р. для сварщика с удостоверением работы сварщиком НАКС.",Мы ищем сварщика с разрядом 3-4 и удостоверением работы сварщиком. Опыт работы сварщиком обязателен. Знание работы на полуавтоматах и настройки является дополнительным преимуществом.,"Проживание в новом общежитии и бесплатные обеды на месте работы обеспечиваются. Возможна подработка на вахте и оплачиваемые переработки. Выплаты на карту без задержек. Мы также предлагаем премию 4000 руб за приведенного друга, который отработает не менее 10 смен.","Ручная дуговая сварка, работа на полуавтоматах, знание настроек","Вакансия ""Электрогазосварщик"" с отличными условиями в нашей компании."
Строитель мостов,"ВАХТА МОНТАЖНИК С БЕСПЛАТНЫМ ПИТАНИЕМ И ПРОЖИВАНИЕМ! Свежая вакансия, ЗАПОЛНЯЕМ БРИГАДУ! Работа монтажник от 30 дней. Условия: Е ЖДИ, ЗВОНИ СЕЙЧАС! ☎️","[+
+🔴 Монтаж мостов|🔴 Сварка / связка арматуры (вахта сварщик)|🔴 Заливка бетона с оборудованием (бетонщик вахта)|🔴 Монтажник жбк вахта С БРИГАДИРОМ!","💡 График вахты ускоренный – 7/0 💡 Комфортное БЕСПЛАТНОЕ проживание с шкафчиками, холодильниками, TV, Wi-Fi, стиральной машиной и остальными обязательными атрибутами для отдыха (ВЫЧЕТОВ за использование НЕТ) 💡 Питание БЕСПЛАТНОЕ! 💡 Монтажник вакансии вахта прямых работодателей (ОФИЦИАЛЬНОЕ оформление) в день собеседования – гарантия выплат. 💡 Спецодежда предоставляется БЕЗ ВЫЧЕТОВ! Есть разное расписание! Вахта 30 30 (короткая работа вахтой 30 30); вахта 30 15 (короткая работа вахтой 30 15); вахта 45 30 (средняя работа вахтой 45 30); вахта 60 30 (повышенная работа вахтой 60 30); вахта 90 30 (длительная работа вахтой 90 30).|🔴 Вблизи места проживания находятся МАГАЗИНЫ и БАНКОМАТЫ.|🔴 Любая работа найдется! Трудоустройство вахта от прямых работодателей.|🔴 Возможна подработка на вахте (оплачиваемые переработки).|🔴 Оплачиваем проезд в первую выплату!|🔴 Работа вахта ночь / день вахта  Все еще думаешь? ПОЗВОНИ 🟢 или ОТКЛИКНИСЬ нам 🔵",,
Монтажник на строительство,"Мы ищем монтажника на строительство. Работа вахтовым методом от 30 дней. Заполняем бригаду! Звони сейчас, чтобы не упустить свою возможность! ☎️","[+
+🔴 Опыт работы монтажником|🔴 Умение читать чертежи|🔴 Знание технологии монтажа металлоконструкций|🔴 Опыт работы с монтажным оборудованием","💡 График вахты ускоренный – 7/0 💡 Комфортное БЕСПЛАТНОЕ проживание с шкафчиками, холодильниками, TV, Wi-Fi, стиральной машиной и остальными обязательными атрибутами для отдыха (ВЫЧЕТОВ за использование НЕТ) 💡 Питание БЕСПЛАТНОЕ! 💡 Монтажник вакансии вахта прямых работодателей (ОФИЦИАЛЬНОЕ оформление) в день собеседования – гарантия выплат. 💡 Спецодежда предоставляется БЕЗ ВЫЧЕТОВ! Есть разное расписание! Вахта 30 30 (короткая работа вахтой 30 30); вахта 30 15 (короткая работа вахтой 30 15); вахта 45 30 (средняя работа вахтой 45 30); вахта 60 30 (повышенная работа вахтой 60 30); вахта 90 30 (длительная работа вахтой 90 30).|🔴 Вблизи места проживания находятся МАГАЗИНЫ и БАНКОМАТЫ.|🔴 Любая работа найдется! Трудоустройство вахта от прямых работодателей.|🔴 Возможна подработка на вахте (оплачиваемые переработки).|🔴 Оплачиваем проезд в первую выплату!|🔴 Работа вахта ночь / день вахта  Все еще думаешь? ПОЗВОНИ 🟢 или ОТКЛИКНИСЬ нам 🔵",,
Монтажник на строительство,"Требуется монтажник на строительство. Работа вахтовым методом от 30 дней. Мы ищем специалиста, готового работать в команде и выполнять различные задачи. Не упусти свой шанс! Звони нам прямо сейчас! ☎️","[+
+🔴 Опыт работы монтажником железобетонных конструкций|🔴 Умение работать с монтажным оборудованием|🔴 Знание технологии монтажа железобетонных конструкций","💡 График вахты ускоренный – 7/0 💡 Комфортное БЕСПЛАТНОЕ проживание с шкафчиками, холодильниками, TV, Wi-Fi, стиральной машиной и остальными обязательными атрибутами для отдыха (ВЫЧЕТОВ за использование НЕТ) 💡 Питание БЕСПЛАТНОЕ! 💡 Монтажник вакансии вахта прямых работодателей (ОФИЦИАЛЬНОЕ оформление) в день собеседования – гарантия выплат. 💡 Спецодежда предоставляется БЕЗ ВЫЧЕТОВ! Есть разное расписание! Вахта 30 30 (короткая работа вахтой 30 30); вахта 30 15 (короткая работа вахтой 30 15); вахта 45 30 (средняя работа вахтой 45 30); вахта 60 30 (повышенная работа вахтой 60 30); вахта 90 30 (длительная работа вахтой 90 30).|🔴 Вблизи места проживания находятся МАГАЗИНЫ и БАНКОМАТЫ.|🔴 Любая работа найдется! Трудоустройство вахта от прямых работодателей.|🔴 Возможна подработка на вахте (оплачиваемые переработки).|🔴 Оплачиваем проезд в первую выплату!|🔴 Работа вахта ночь / день вахта  Все еще думаешь? ПОЗВОНИ 🟢 или ОТКЛИКНИСЬ нам 🔵",,
Инженер ПТО,Постоянная работа в Сервисной компании по капитальному ремонту скважин.,Опыт работы по данному направлению обязателен.,"Место работы: поселок СИНГАПАЙ. Официальное трудоустройство, согласно ТК. Пятидневная рабочая неделя. Возможны непродолжительные командировки в обособленные подразделения организации. Своевременная заработная плата.",,"Требования: Планирование технического обслуживания, график ТО-1 ТО-2. Списание запасных частей. Регистрационные действия с транспортными средствами в ГИБДД и Гостехнадзоре. Оформление перевозок опасных грузов и разрешений на перевозку крупногабаритных и тяжеловесных грузов."
